name,code,bic
"Akala, S.A. de C.V., Sociedad Financiera Popular ",AKALA ,638
"J.P. Morgan Casa de Bolsa, S.A. de C.V. J.P. Morgan Grupo Financiero ",CB JPMORGAN ,640
"Operadora de Recursos Reforma, S.A. de C.V., S.F.P. ",REFORMA ,642
"Sistema de Transferencias y Pagos STP, S.A. de C.V.SOFOM ENR ",STP ,646
Telecomunicaciones de México ,TELECOMM ,647
"Evercore Casa de Bolsa, S.A. de C.V. ",EVERCORE ,648
"Skandia Operadora de Fondos, S.A. de C.V. ",SKANDIA ,649
"Seguros Monterrey New York Life, S.A de C.V ",SEGMTY ,651
"Solución Asea, S.A. de C.V., Sociedad Financiera Popular ",ASEA ,652
"Kuspit Casa de Bolsa, S.A. de C.V. ",KUSPIT ,653
"J.P. SOFIEXPRESS, S.A. de C.V., S.F.P. ",SOFIEXPRESS ,655
"UNAGRA, S.A. de C.V., S.F.P. ",UNAGRA ,656
"OPCIONES EMPRESARIALES DEL NORESTE, S.A. DE C.V., S.F.P. ",OPCIONES EMPRESARIALES DEL NOROESTE ,659
Cls Bank International ,CLS ,901
"SD. Indeval, S.A. de C.V. ",INDEVAL ,902
"Libertad Servicios Financieros, S.A. De C.V. ",LIBERTAD ,670
"",N/A,999
